(22, 66.55, 1.3127437859773636)
(23, 58.46, 1.8075327932834626)
(24, 65.10000000000001, 1.2845585897564888)
(25, 66.19, 1.3437184244394302)
(1001, 68.67999999999999, 2.1710566371679305)
(2001, 68.64, 2.2074248522520064)
(3001, 68.76, 2.3077095806598664)
(4001, 68.8, 2.2948230266571046)
(5001, 68.91000000000001, 2.3103443682193756)
(6001, 68.94, 2.380078861117363)
(7001, 68.97, 2.390032485127449)
(8001, 68.99, 2.396123617887497)
(9001, 69.03, 2.4141209185123444)
(10001, 69.07, 2.4257854551076887)
(11001, 69.07, 2.4221443951129915)
(12001, 69.12, 2.449533614516258)
(13001, 69.1, 2.493755978345871)
(14001, 69.13, 2.4803335905075072)
(15001, 69.14, 2.4569021463394165)
(16001, 69.15, 2.4693566113710403)
(17001, 69.16, 2.484906756877899)
(18001, 69.17, 2.4742516547441484)
(19001, 69.17999999999999, 2.542185941338539)
(20001, 69.17, 2.474340336024761)
(21001, 69.17, 2.5070953339338304)
(22001, 69.19, 2.499776929616928)
(23001, 69.19, 2.482380786538124)
(24000, 69.22, 2.578264316916466)
(1, 33.239999999999995, 2.130102461576462)
(2, 31.1, 1.9153846621513366)
(3, 31.97, 1.873419213294983)
(4, 36.71, 2.1832134038209916)
(5, 37.18, 2.279409131407738)
(6, 34.68, 1.778078666329384)
(7, 29.959999999999997, 2.0611918747425078)
(8, 53.849999999999994, 1.3150943249464035)
(9, 54.53, 1.2066250175237656)
(10, 64.42, 1.097062648832798)
(11, 55.05, 1.420551609992981)
(12, 59.61, 1.1713809370994568)
(13, 64.44, 1.0651573210954666)
(14, 55.86, 1.4239492624998094)
(15, 50.74999999999999, 1.7434038311243056)
(16, 58.51, 1.2888087898492813)
(17, 62.370000000000005, 1.2366178974509239)
(18, 57.47, 1.675181369483471)
(19, 73.68, 0.8946681663393974)
(20, 75.16000000000001, 0.8804853662848473)
(21, 60.029999999999994, 1.4345852941274644)
(22, 63.980000000000004, 1.2318000853061677)
(23, 56.379999999999995, 1.2315217435359955)
(24, 74.49, 0.9044458493590355)
(25, 70.99, 0.9981459185481072)
(1001, 77.5, 1.2795657768845559)
(2001, 77.58, 1.339153455197811)
(3001, 77.66, 1.3613634020090104)
(4001, 77.75, 1.3923189043998718)
(5001, 77.81, 1.37263164781034)
(6001, 77.83, 1.396709169447422)
(7001, 77.88000000000001, 1.4330925971269608)
(8001, 77.92999999999999, 1.415764407813549)
(9001, 77.95, 1.4437060952186584)
(10001, 77.97, 1.4632455065846444)
(11001, 77.96, 1.4540606081485747)
(12001, 77.99000000000001, 1.4382192328572274)
(13001, 78.03, 1.466064876317978)
(14001, 78.02, 1.456920926272869)
(15001, 78.03999999999999, 1.508497941493988)
(16001, 78.03999999999999, 1.4865316331386567)
(17001, 78.05, 1.5146916300058364)
(18001, 78.05, 1.4948152020573615)
(19001, 78.07, 1.5332712352275848)
(20001, 78.09, 1.484308111667633)
(21001, 78.08, 1.5072719693183898)
(22001, 78.09, 1.535831628739834)
(23001, 78.09, 1.4941468358039856)
(24000, 78.09, 1.5368882685899734)
